source,source_label,relation,target,target_label,weight
PRODUCT:0,LAPTOP MAMEL,HAS_TYPE,TYPE:EQUIPO,equipo,0.84
PRODUCT:3,BOLSA 16*19 C/ASA *100UND,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:3,BOLSA 16*19 C/ASA *100UND,HAS_ACCESSORY,ACCESSORY:ASA,asa,0.85
PRODUCT:4,BOLSA 12*16 BCO ALFA *100UND,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:8,BOLSA 16*19 C/ASA*100UND,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:8,BOLSA 16*19 C/ASA*100UND,HAS_ACCESSORY,ACCESSORY:ASA,asa,0.85
PRODUCT:9,BOLSA 21*24,HAS_TYPE,TYPE:BOLSA,bolsa,0.91
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:5ML,5ML,0.95
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:10ML,10ML,0.95
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:15ML,15ML,0.95
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:20ML,20ML,0.95
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:30ML,30ML,0.95
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:50ML,50ML,0.95
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_TYPE,TYPE:GOTERO,gotero,0.95
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_SUBTYPE,SUBTYPE:CHUPON,chupon,0.94
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:CHUPON,chupon,0.92
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.92
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,HAS_CAPACITY,CAPACITY:100ML,100ML,0.95
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,HAS_TYPE,TYPE:TAPA,tapa,0.9
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,HAS_SUBTYPE,SUBTYPE:DISPENSADOR,dispensador,0.95
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.88
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,HAS_COLOR,COLOR:BLANCO,BLANCO,0.94
PRODUCT:5007,TAPA DISPENSADORA BLANCO B28MM,HAS_MOUTH_SIZE,MOUTH_SIZE:28MM,28MM,0.92
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_TYPE,TYPE:FRASCO,frasco,0.93
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.88
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_ACCESSORY,ACCESSORY:ATOMIZADOR_ESPRAY,atomizador_espray,0.88
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_FEATURE,FEATURE:IMPORTADO,importado,0.8
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_COLOR,COLOR:AMBAR,AMBAR,0.94
PRODUCT:5008,FRASCO VIDRIO AMBAR IMPORTADO 125ML TAPA ESPRAY BAJA,HAS_CAPACITY,CAPACITY:125ML,125ML,0.95
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,HAS_TYPE,TYPE:ATOMIZADOR,atomizador,0.92
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,HAS_SUBTYPE,SUBTYPE:ATOMIZADOR,atomizador,0.95
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.88
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5009,PROBADOR VIDRIO TRASPARENTE 2ML CON TAPA SPRAY,HAS_CAPACITY,CAPACITY:2ML,2ML,0.95
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,HAS_TYPE,TYPE:ATOMIZADOR,atomizador,0.92
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,HAS_SUBTYPE,SUBTYPE:ATOMIZADOR,atomizador,0.95
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,HAS_ACCESSORY,ACCESSORY:TAPA,tapa,0.88
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,HAS_MATERIAL,MATERIAL:VIDRIO,VIDRIO,0.94
PRODUCT:5010,PROBADOR VIDRIO TRASPARENTE 3ML CON TAPA SPRAY,HAS_CAPACITY,CAPACITY:3ML,3ML,0.95
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,HAS_TYPE,TYPE:ATOMIZADOR,atomizador,0.92
PRODUCT:5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,HAS_SUBTYPE,SUBTYPE:ATOMIZADOR,atomizador,0.95
