product_a,product_a_name,product_b,product_b_name,co_sale_docs
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),28
6,MATERIAL MEDICO MASCARILLAS KN95 MAYFIELD,6,MATERIAL MEDICO MASCARILLAS KN95 MAYFIELD,28
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,23
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,5126,BAGUETA O VARILLAS DE AGITACION DE VIDRIO 20CM,21
5007,TAPA DISPENSADORA BLANCO B28MM,5064,GATILLO PULVERIZADOR 28/410,21
10,EQUIPOS DE SEGURIDAD TRAJE ANSELL 2300,10,EQUIPOS DE SEGURIDAD TRAJE ANSELL 2300,21
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,5065,PISETA 250ML,20
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,19
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),18
5064,GATILLO PULVERIZADOR 28/410,5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,18
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,5006,FRASCO GOTERO VIDRIO AMBAR 100ML CON TAPA Y CHUPON,18
5065,PISETA 250ML,5066,PISETA 500 ML,18
5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA blanco,5017,POTE CREMERO SIMPLE 60GR CON TAPA Y LAINA negro,18
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),5126,BAGUETA O VARILLAS DE AGITACION DE VIDRIO 20CM,17
5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,5007,TAPA DISPENSADORA BLANCO B28MM,17
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,5007,TAPA DISPENSADORA BLANCO B28MM,16
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA blanco,16
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA blanco,16
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),5347,BAGUETA O VARILLA DE VIDRIO 30ML,15
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,5091,PROBETA DE VIDRIO GRADUADA C/PICO 100 ML,15
5067,PIPETAS PASTEUR ESTRILES 3ML BX200,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),15
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,15
5011,PROBADOR VIDRIO TRASPARENTE 5ML CON TAPA SPRAY,5012,PROBADOR VIDRIO TRASPARENTE 10ML CON TAPA SPRAY,15
5065,PISETA 250ML,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),15
5007,TAPA DISPENSADORA BLANCO B28MM,5065,PISETA 250ML,15
5064,GATILLO PULVERIZADOR 28/410,5065,PISETA 250ML,15
5014,POTE CREMERO SIMPLE 30GR CON TAPA Y LAINA blanco,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,15
5007,TAPA DISPENSADORA BLANCO B28MM,5122,POTE ACRILICO 10GR C/TAPA ROSCA,15
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),14
5067,PIPETAS PASTEUR ESTRILES 3ML BX200,5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,14
5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),14
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,14
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,5002,FRASCO GOTERO VIDRIO AMBAR 15ML CON TAPA Y CHUPON,14
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,14
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,5005,FRASCO GOTERO VIDRIO AMBAR 50ML CON TAPA Y CHUPON,14
5003,FRASCO GOTERO VIDRIO AMBAR 20ML CON TAPA Y CHUPON,5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,14
5065,PISETA 250ML,5074,FRASCO BULLET 100ML CON TAPA ATOMIZADOR,14
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,5065,PISETA 250ML,14
5001,FRASCO GOTERO VIDRIO AMBAR 10ML CON TAPA Y CHUPON,5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,14
5000,FRASCO GOTERO VIDRIO AMBAR 5ML CON TAPA Y CHUPON,5007,TAPA DISPENSADORA BLANCO B28MM,14
5018,FRASCO BULLET 30ML CON TAPA ATOMIZADOR,5073,FRASCO BULLET 75ML CON TAPA	ATOMIZADOR,14
5019,FRASCO BULLET 60ML CON TAPA ATOMIZADOR,5065,PISETA 250ML,14
5084,VASO PRECIPITADO DE VIDRIO 500 ML (BEAKER),5126,BAGUETA O VARILLAS DE AGITACION DE VIDRIO 20CM,13
5107,LAMINA PORTAOBJETO 7101 (PAQ. 50UND),5141,LAMINILLA CUBREOBJETO 22*22MM*100UND,13
5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),5088,VASO PRECIPITADO DE VIDRIO 50ML (BEAKER),13
5036,FRASCO PLASTICO NATURAL 500ML CON TAPON Y TAPA B28MM,5037,FRASCO PLASTICO NATURAL 1LT CON TAPA Y TAPON N28,13
5083,VASO PRECIPITADO DE VIDRIO 1L (BEAKER),5085,VASO PRECIPITADO DE VIDRIO 250 ML (BEAKER) G-,13
5007,TAPA DISPENSADORA BLANCO B28MM,5333,BOTELLA PET TRANSPARENTE 250ML B28 C/TAPA Y TAPON con tapa dispensador,13
5004,FRASCO GOTERO VIDRIO AMBAR 30ML CON TAPA Y CHUPON,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),13
5066,PISETA 500 ML,5087,VASO PRECIPITADO DE VIDRIO 100 ML (BEAKER),13
